Artist,Title,Url
"Rev. James L. Lofton's Radio Choir","Come Unto Me","http://bap-tizum.com/sites/default/files/audio/Rev.%20James%20L.%20Lofton's%20Radio%20Choir_Come%20Unto%20Me_78.mp3"
"Rev. James L. Lofton's Radio Choir","Come Unto Me","http://bap-tizum.com/sites/default/files/audio/Rev.%20James%20L.%20Lofton's%20Radio%20Choir_Come%20Unto%20Me_78_0.mp3"
"Golden Gate Quartet","Comin' in on a Wing and a Prayer","http://bap-tizum.com/sites/default/files/audio/Comin_in_on_a_Wing_and_a_Prayer.mp3"
"The Four Internes","Count Your Many Blessings","http://bap-tizum.com/sites/default/files/audio/The%20Four%20Internes_Count%20Your%20Many%20Blessings_78.mp3"
"The Four Internes","Count Your Many Blessings","http://bap-tizum.com/sites/default/files/audio/The%20Four%20Internes_Count%20Your%20Many%20Blessings_78_0.mp3"
"Original Kings of Harmony","Crucifixtion","http://bap-tizum.com/sites/default/files/audio/Crucifixtion.mp3"
"The Angelic Gospel Singers and The Dixie Humming Birds","Dear Lord, Look Down Upon Me","http://bap-tizum.com/sites/default/files/audio/Dear_Lord_Look_Down_Upon_Me_0.mp3"
"The National Harmonizers","Death Comes Knocking","http://bap-tizum.com/sites/default/files/audio/The%20National%20Harmonizers_Death%20Comes%20Knocking_78.mp3"
"The Trumpeteers","Death Gonna Straighten Him","http://bap-tizum.com/sites/default/files/audio/Death_Gonna_Straighten_Him.mp3"
"Brother Joe May","Didn't it Rain?","http://bap-tizum.com/sites/default/files/audio/Didnt_it_Rain_.mp3"
"Golden Gate Quartet","Didn't It Rain","http://bap-tizum.com/sites/default/files/audio/Golden%20Gate%20Quartet_Didn't%20It%20Rain_78.mp3"
"Golden Gate Quartet","Didn't It Rain","http://bap-tizum.com/sites/default/files/audio/Golden%20Gate%20Quartet_Didn't%20It%20Rain_78_0.mp3"
"Angelic Gospel Singers","Do Lord, Remember Me","http://bap-tizum.com/sites/default/files/audio/Do_Lord_Remember_Me.mp3"
"Sky Light Singers","Don't Drive Your Children Away","http://bap-tizum.com/sites/default/files/audio/Sky%20Light%20Singers_Don't%20Drive%20Your%20Children%20Away_78.mp3"
"Fairfield Four","Don't You Want to Join that Number","http://bap-tizum.com/sites/default/files/audio/Dont_You_Want_to_Join_that_Number.mp3"
"The Bibletone Jubileers","Don't You Want To Join That Number","http://bap-tizum.com/sites/default/files/audio/The%20Bibletone%20Jubileers_Don't%20You%20Want%20To%20Join%20That%20Number_78.mp3"
"The Bibletone Jubileers","Don't You Want To Join That Number","http://bap-tizum.com/sites/default/files/audio/The%20Bibletone%20Jubileers_Don't%20You%20Want%20To%20Join%20That%20Number_78_0.mp3"
"Heavenly Gospel Singers","Don't You Want That Stone?","http://bap-tizum.com/sites/default/files/audio/Heavenly%20Gospel%20Singers_Don't%20You%20Want%20That%20Stone?_78.mp3"
"Heavenly Gospel Singers","Don't You Want That Stone?","http://bap-tizum.com/sites/default/files/audio/Heavenly%20Gospel%20Singers_Don't%20You%20Want%20That%20Stone?_78_0.mp3"
"Rev. J.C. Burnett","The Downfall of Nebuchadnezzar","http://bap-tizum.com/sites/default/files/audio/The_Downfall_of_Nebuchadnezzar.mp3"
"Rev. J.C. Burnett Assisted By Sisters Grainger And Jackson","The Downfall Of Nebuchadnezzar","http://bap-tizum.com/sites/default/files/audio/Rev.%20J.C.%20Burnett%20Assisted%20By%20Sisters%20Grainger%20And%20Jackson_The%20Downfall%20Of%20Nebuchadnezzar_78.mp3"
"Rev. J.C. Burnett Assisted By Sisters Grainger And Jackson","The Downfall Of Nebuchadnezzar","http://bap-tizum.com/sites/default/files/audio/Rev.%20J.C.%20Burnett%20Assisted%20By%20Sisters%20Grainger%20And%20Jackson_The%20Downfall%20Of%20Nebuchadnezzar_78_0.mp3"
"Southern Tones","The Dying Sinner","http://bap-tizum.com/sites/default/files/audio/Southern%20Tones_The%20Dying%20Sinner_78.mp3"
"Southern Tones","The Dying Sinner","http://bap-tizum.com/sites/default/files/audio/Southern%20Tones_The%20Dying%20Sinner_78_0.mp3"
"Sister Wynona Carr","Each Day","http://bap-tizum.com/sites/default/files/audio/Each_Day.mp3"
"Bells of Joy","Echoes From Heaven","http://bap-tizum.com/sites/default/files/audio/Echoes_From_Heaven.mp3"
"Bells of Joy","Echoes From Heaven","http://bap-tizum.com/sites/default/files/audio/Echoes_from_Heaven.mp3"
"Dixie Humming Birds","Eternal Life","http://bap-tizum.com/sites/default/files/audio/Eternal_Life.mp3"
"Edna Gallmon Cooke","Evening Sun","http://bap-tizum.com/sites/default/files/audio/Evening_Sun_1.mp3"
"Gospel All Stars","Every Now and Then","http://bap-tizum.com/sites/default/files/audio/Every_Now_and_Then.mp3"
"Pace Jubilee Singers With Hattie Parker","Everytime I Feel The Spirit","http://bap-tizum.com/sites/default/files/audio/Pace%20Jubilee%20Singers%20With%20Hattie%20Parker_Everytime%20I%20Feel%20The%20Spirit_78.mp3"
"Pace Jubilee Singers With Hattie Parker","Everytime I Feel The Spirit","http://bap-tizum.com/sites/default/files/audio/Pace%20Jubilee%20Singers%20With%20Hattie%20Parker_Everytime%20I%20Feel%20The%20Spirit_78_0.mp3"
"Fisk University Jubilee Singers","Ezekiel Saw De Wheel","http://bap-tizum.com/sites/default/files/audio/Ezekiel_Saw_De_Wheel.mp3"
"Fisk University Jubilee Singers","Ezekiel Saw The Wheel","http://bap-tizum.com/sites/default/files/audio/Ezekiel_Saw_The_Wheel.mp3"
"The Bibletone Jubileers","Ezekiel Saw The Wheel","http://bap-tizum.com/sites/default/files/audio/The%20Bibletone%20Jubileers_Ezekiel%20Saw%20The%20Wheel_78_0.mp3"
"Fisk University Jubilee Singers","Ezekiel Saw The Wheel","http://bap-tizum.com/sites/default/files/audio/Fisk%20University%20Jubilee%20Singers_Ezekiel%20Saw%20The%20Wheel_78.mp3"
"Fisk University Jubilee Singers","Ezekiel Saw The Wheel","http://bap-tizum.com/sites/default/files/audio/Fisk%20University%20Jubilee%20Singers_Ezekiel%20Saw%20The%20Wheel_78_0.mp3"
"The Bibletone Jubileers","Ezekiel Saw The Wheel","http://bap-tizum.com/sites/default/files/audio/The%20Bibletone%20Jubileers_Ezekiel%20Saw%20The%20Wheel_78.mp3"
"Edna Gallmon Cooke","Face to Face","http://bap-tizum.com/sites/default/files/audio/Face_to_Face.mp3"
"Clara Ward","Faith Moves Mountains","http://bap-tizum.com/sites/default/files/audio/Faith_Moves_Mountains.mp3"
"Kings of Harmony Quartette","Fountain of Blood","http://bap-tizum.com/sites/default/files/audio/Fountain_of_Blood.mp3"
"Golden Gate Jubilee Quartet","Gabriel Blows His Horn","http://bap-tizum.com/sites/default/files/audio/Golden%20Gate%20Jubilee%20Quartet_Gabriel%20Blows%20His%20Horn_78.mp3"
"Golden Gate Jubilee Quartet","Gabriel Blows His Horn","http://bap-tizum.com/sites/default/files/audio/Golden%20Gate%20Jubilee%20Quartet_Gabriel%20Blows%20His%20Horn_78_0.mp3"
"The Masters Of Harmony Of Detroit","In The Garden","http://bap-tizum.com/sites/default/files/audio/The%20Masters%20Of%20Harmony%20Of%20Detroit_In%20The%20Garden_78.mp3"
"The Masters Of Harmony Of Detroit","In The Garden","http://bap-tizum.com/sites/default/files/audio/The%20Masters%20Of%20Harmony%20Of%20Detroit_In%20The%20Garden_78_0.mp3"
"Nightingale Quartet","Get Inside","http://bap-tizum.com/sites/default/files/audio/Get_Inside.mp3"
"The Dixie Hummingbirds","Get Right Church","http://bap-tizum.com/sites/default/files/audio/The%20Dixie%20Hummingbirds_Get%20Right%20Church_78.mp3"
"The Dixie Hummingbirds","Get Right Church","http://bap-tizum.com/sites/default/files/audio/The%20Dixie%20Hummingbirds_Get%20Right%20Church_78_0.mp3"
"Davis Sisters of Philadelphia with Curtis Dublin","Getting Nearer to my Lord","http://bap-tizum.com/sites/default/files/audio/Getting_Nearer_to_My_Lord.mp3"
"The Franklin Singers","Give Me Wings Lord","http://bap-tizum.com/sites/default/files/audio/Give_Me_Wings_Lord.mp3"
"McFadden Gospel Singers","God is Able","http://bap-tizum.com/sites/default/files/audio/God_is_Able_0.mp3"
"Sister Rosetta Tharpe","God Don't Like It","http://bap-tizum.com/sites/default/files/audio/God_Dont_Like_It_0.mp3"
"Spirit Of Memphis","God Save America","http://bap-tizum.com/sites/default/files/audio/Spirit%20Of%20Memphis_God%20Save%20America_78.mp3"
"Spirit Of Memphis","God Save America","http://bap-tizum.com/sites/default/files/audio/Spirit%20Of%20Memphis_God%20Save%20America_78_0.mp3"
"Sensational Nightingales","God's Word Will Never Pass Away","http://bap-tizum.com/sites/default/files/audio/Gods_Word_Will_Never_Pass_Away.mp3"
"Rev. J.M. Gates-Assisted by Deacon Leon Davis & Sisters Jordan and Norman","God's Wrath in the St. Louis Cyclone","http://bap-tizum.com/sites/default/files/audio/Gods_Wrath_in_The_St._Louis_Cyclone.mp3"
"The Four Internes","Going Back To Jesus","http://bap-tizum.com/sites/default/files/audio/The%20Four%20Internes_Going%20Back%20To%20Jesus_78.mp3"
"The Four Internes","Going Back To Jesus","http://bap-tizum.com/sites/default/files/audio/The%20Four%20Internes_Going%20Back%20To%20Jesus_78_0.mp3"
"Golden Gate Jubilee Quartet","Golden Gate Gospel Train","http://bap-tizum.com/sites/default/files/audio/Golden%20Gate%20Jubilee%20Quartet_Golden%20Gate%20Gospel%20Train_78.mp3"
"Golden Gate Jubilee Quartet","Golden Gate Gospel Train","http://bap-tizum.com/sites/default/files/audio/Golden%20Gate%20Jubilee%20Quartet_Golden%20Gate%20Gospel%20Train_78_0.mp3"
"The Masters of Harmony of Detroit","Golden Slippers","http://bap-tizum.com/sites/default/files/audio/Golden_Slippers.mp3"
"The Bibletone Jubileers","Gospel Train","http://bap-tizum.com/sites/default/files/audio/The%20Bibletone%20Jubileers_Gospel%20Train_78.mp3"
"The Bibletone Jubileers","Gospel Train","http://bap-tizum.com/sites/default/files/audio/The%20Bibletone%20Jubileers_Gospel%20Train_78_0.mp3"
"Rev. James L. Lofton And His Church Of Our Prayer","Great Day","http://bap-tizum.com/sites/default/files/audio/Rev.%20James%20L.%20Lofton%20And%20His%20Church%20Of%20Our%20Prayer_Great%20Day_78.mp3"
"Rev. James Lofton And His Church Of Our Prayer","Great Day","http://bap-tizum.com/sites/default/files/audio/Rev.%20James%20Lofton%20And%20His%20Church%20Of%20Our%20Prayer_Great%20Day_78.mp3"
"Kings Of Harmony Of Alabama","Have A Little Talk With My Jesus","http://bap-tizum.com/sites/default/files/audio/Kings%20Of%20Harmony%20Of%20Alabama_Have%20A%20Little%20Talk%20With%20My%20Jesus_78.mp3"
"Kings Of Harmony Of Alabama","Have A Little Talk With My Jesus","http://bap-tizum.com/sites/default/files/audio/Kings%20Of%20Harmony%20Of%20Alabama_Have%20A%20Little%20Talk%20With%20My%20Jesus_78_0.mp3"
"Original Five Blind Boys","Have You Talked To The Man Upstairs?","http://bap-tizum.com/sites/default/files/audio/Have_You_Talked_To_The_Man_Upstairs_.mp3"
"Sister Rosetta Tharpe","He Arose From The Grave","http://bap-tizum.com/sites/default/files/audio/He_Arose_From_The_Grave.mp3"
"Prophet Jones","He Helps His People","http://bap-tizum.com/sites/default/files/audio/He_Helps_His_People.mp3"
"Silver Echo Quartette","He Knows Just How Much We Can Bear","http://bap-tizum.com/sites/default/files/audio/He_Knows_Just_How_Much_We_Can_Bear.mp3"
"Golden Gate Quartet","He Never Said A Mumblin' Word","http://bap-tizum.com/sites/default/files/audio/Golden%20Gate%20Quartet_He%20Never%20Said%20A%20Mumblin'%20Word_78.mp3"
"Golden Gate Quartet","He Never Said A Mumblin' Word","http://bap-tizum.com/sites/default/files/audio/Golden%20Gate%20Quartet_He%20Never%20Said%20A%20Mumblin'%20Word_78_0.mp3"
"The Pilgrim Harmonaires","He Said He Would Move","http://bap-tizum.com/sites/default/files/audio/He_Said_He_Would_Move.mp3"
"Sister Rosetta Tharpe And Marie Knight And Sam Price Trio","He Watches Me","http://bap-tizum.com/sites/default/files/audio/Sister%20Rosetta%20Tharpe%20And%20Marie%20Knight%20And%20Sam%20Price%20Trio_He%20Watches%20Me_78.mp3"
"Sister Rosetta Tharpe And Marie Knight With Sam Price Trio","He Watches Me","http://bap-tizum.com/sites/default/files/audio/Sister%20Rosetta%20Tharpe%20And%20Marie%20Knight%20With%20Sam%20Price%20Trio_He%20Watches%20Me_78.mp3"
"Roberta Martin","He Will Carry You Through","http://bap-tizum.com/sites/default/files/audio/He_Will_Carry_You_Through.mp3"
"The Swan Silvertone Singers","He Won't Deny Me","http://bap-tizum.com/sites/default/files/audio/The%20Swan%20Silvertone%20Singers_He%20Won't%20Deny%20Me_78.mp3"
"The Swan Silvertone Singers","He Won't Deny Me","http://bap-tizum.com/sites/default/files/audio/The%20Swan%20Silvertone%20Singers_He%20Won't%20Deny%20Me_78_0.mp3"
"Rev. H. H. Coleman","Heaven or Hell","http://bap-tizum.com/sites/default/files/audio/Heaven_or_Hell.mp3"
"The Radio Four","Help Me To Run This Race","http://bap-tizum.com/sites/default/files/audio/Help_Me_To_Run_This_Race.mp3"
"Sister Rosetta Tharpe","He's All I Need","http://bap-tizum.com/sites/default/files/audio/Hes_All_I_Need.mp3"
"Sister Rosetta Tharpe And Marie Knight And Sam Price Trio","He's All I Need","http://bap-tizum.com/sites/default/files/audio/Sister%20Rosetta%20Tharpe%20And%20Marie%20Knight%20And%20Sam%20Price%20Trio_He's%20All%20I%20Need_78.mp3"
"Sister Rosetta Tharpe And Marie Knight With Sam Price Trio","He's All I Need","http://bap-tizum.com/sites/default/files/audio/Sister%20Rosetta%20Tharpe%20And%20Marie%20Knight%20With%20Sam%20Price%20Trio_He's%20All%20I%20Need_78.mp3"
"The Pilgrim Travelers","He's Pleading in Glory","http://bap-tizum.com/sites/default/files/audio/Hes_Pleading_in_Glory.mp3"
"Golden Gate Quartet","High, Low and Wide","http://bap-tizum.com/sites/default/files/audio/High_Low_and_Wide.mp3"
"The Soul-Stirrers","His Eye is on the Sparrow","http://bap-tizum.com/sites/default/files/audio/His_Eye_is_on_the_Sparrow.mp3"
"Coleman Brothers","His Eye Is On The Sparrow","http://bap-tizum.com/sites/default/files/audio/Coleman%20Brothers_His%20Eye%20Is%20On%20The%20Sparrow_78.mp3"
"The Soul Stirrers","His Eye Is On The Sparrow","http://bap-tizum.com/sites/default/files/audio/The%20Soul%20Stirrers_His%20Eye%20Is%20On%20The%20Sparrow_78.mp3"
"Coleman Brothers","His Eye Is On The Sparrow","http://bap-tizum.com/sites/default/files/audio/Coleman%20Brothers_His%20Eye%20Is%20On%20The%20Sparrow_78_0.mp3"
"The Soul Stirrers","His Eye Is On The Sparrow","http://bap-tizum.com/sites/default/files/audio/The%20Soul%20Stirrers_His%20Eye%20Is%20On%20The%20Sparrow_78_0.mp3"
"Rev. Frank R. Ross","The Holy Spirit Part 2","http://bap-tizum.com/sites/default/files/audio/The_Holy_Spirit_Part_2.mp3"
"Sister Jessie Mae Reinfro","In That Home, By and By","http://bap-tizum.com/sites/default/files/audio/In_That_Time_By_and_By.mp3"
"The Humming Bees","Home in the Rock","http://bap-tizum.com/sites/default/files/audio/Home_in_the_Rock.mp3"
"Rev. C.L. Franklin","Hosea The Prophet, Gomer The Prostitute","http://bap-tizum.com/sites/default/files/audio/Hosea_The_Prophet_Gomer_The_Prostitute.mp3"
"The Soul Stirrers","How Far Am I From Canaan","http://bap-tizum.com/sites/default/files/audio/The%20Soul%20Stirrers_How%20Far%20Am%20I%20From%20Canaan_78.mp3"
"Original Five Blind Boys","How Far Am I From Canaan?","http://bap-tizum.com/sites/default/files/audio/How_Far_am_I_From_Canaan.mp3"
"The Soul Stirrers","How Far Am I From Canaan","http://bap-tizum.com/sites/default/files/audio/The%20Soul%20Stirrers_How%20Far%20Am%20I%20From%20Canaan_78_0.mp3"
"The Swan Silvertone Singers","How I Got Over","http://bap-tizum.com/sites/default/files/audio/How_I_Got_Over_0.mp3"
"National Clouds of Joy","How Much More Can I Bear","http://bap-tizum.com/sites/default/files/audio/How_Much_More_Can_I_Bear.mp3"
"Bells of Joy","How Sweet it is","http://bap-tizum.com/sites/default/files/audio/How_Sweet_it_is.mp3"
"Jubilee Male Quartet","I am Leaning on the Lord","http://bap-tizum.com/sites/default/files/audio/I_am_Leaning_on_the_Lord.mp3"
"The Two Gospel Keys","I Don't Want To go Down There Part 1","http://bap-tizum.com/sites/default/files/audio/I_Dont_Want_To_Go_Down_There_Part_1.mp3"
"The Two Gospel Keys","I Don't Want To Go Down There Part 2","http://bap-tizum.com/sites/default/files/audio/I_Dont_Want_To_Go_Down_There_Part_2.mp3"
"The Radio Four","I Expect to be Landed","http://bap-tizum.com/sites/default/files/audio/I_Expect_To_Be_Landed.mp3"
"Selah Jubilee Singers","I Feel Like My Time Ain't Long","http://bap-tizum.com/sites/default/files/audio/I_Feel_Like_My_Time_Aint_Long.mp3"
"Georgia Peach And Sky Light Singers","I Got Somewhere To Lay My Head","http://bap-tizum.com/sites/default/files/audio/Georgia%20Peach%20And%20Sky%20Light%20Singers_I%20Got%20Somewhere%20To%20Lay%20My%20Head_78.mp3"
"Georgia Peach And Sky Light Singers","I Got Somewhere To Lay My Head","http://bap-tizum.com/sites/default/files/audio/Georgia%20Peach%20And%20Sky%20Light%20Singers_I%20Got%20Somewhere%20To%20Lay%20My%20Head_78_0.mp3"
"Clara Ward","I Heard of a City Called the New Jerusalem","http://bap-tizum.com/sites/default/files/audio/I_Heard_of_a_City_Called_the_New_Jerusalem.mp3"
"The Southern Sons","I Heard the Preaching of the Elders","http://bap-tizum.com/sites/default/files/audio/I_Heard_the_Preaching_of_the_Elders.mp3"
"Silvertone Gospel Singers","I John Saw The Number","http://bap-tizum.com/sites/default/files/audio/Silvertone%20Gospel%20Singers_I%20John%20Saw%20The%20Number_78.mp3"
"Silvertone Gospel Singers","I John Saw The Number","http://bap-tizum.com/sites/default/files/audio/Silvertone%20Gospel%20Singers_I%20John%20Saw%20The%20Number_78_0.mp3"
"Sunset Four Male Quartet","I Just Couldn't Keep It To Myself","http://bap-tizum.com/sites/default/files/audio/Sunset%20Four%20Male%20Quartet_I%20Just%20Couldn't%20Keep%20It%20To%20Myself_78.mp3"
"Sunset Four Male Quartet","I Just Couldn't Keep It To Myself","http://bap-tizum.com/sites/default/files/audio/Sunset%20Four%20Male%20Quartet_I%20Just%20Couldn't%20Keep%20It%20To%20Myself_78_0.mp3"
"Fisk University Jubilee Singers","I Know I Have Another Building","http://bap-tizum.com/sites/default/files/audio/Fisk%20University%20Jubilee%20Singers_I%20Know%20I%20Have%20Another%20Building_78.mp3"
"Fisk University Jubilee Singers","I Know I Have Another Building","http://bap-tizum.com/sites/default/files/audio/Fisk%20University%20Jubilee%20Singers_I%20Know%20I%20Have%20Another%20Building_78_0.mp3"
"The Flying Clouds","I Know it was the Blood","http://bap-tizum.com/sites/default/files/audio/I_Know_it_was_the_Blood.mp3"
"The Famous Ward Singers","I Know It Was The Lord","http://bap-tizum.com/sites/default/files/audio/The%20Famous%20Ward%20Singers_I%20Know%20It%20Was%20The%20Lord_78.mp3"
"The Famous Ward Singers","I Know It Was The Lord","http://bap-tizum.com/sites/default/files/audio/The%20Famous%20Ward%20Singers_I%20Know%20It%20Was%20The%20Lord_78_0.mp3"
"Rev. C.T. James","I Know The Lord Will Make A Way For Me","http://bap-tizum.com/sites/default/files/audio/Rev.%20C.T.%20James_I%20Know%20The%20Lord%20Will%20Make%20A%20Way%20For%20Me_78.mp3"
"Rev. C.T. James","I Know The Lord Will Make A Way For Me","http://bap-tizum.com/sites/default/files/audio/Rev.%20C.T.%20James_I%20Know%20The%20Lord%20Will%20Make%20A%20Way%20For%20Me_78_0.mp3"
"Sister Wynona Carr","I Know Someday God's Gonna Call on Me","http://bap-tizum.com/sites/default/files/audio/I_Know_Someday_Gods_Gonna_Call_on_Me.mp3"
"Clara Ward","I Know What He's Done For Me","http://bap-tizum.com/sites/default/files/audio/I_Know_What_Hes_Done_For_Me.mp3"
"The Pilgrim Travelers","I Love the Lord","http://bap-tizum.com/sites/default/files/audio/I_Love_The_Lord.mp3"
"Kings of Harmony of Alabama","I Love the Name Jesus","http://bap-tizum.com/sites/default/files/audio/I_Love_the_Name_Jesus.mp3"
"Ward Singers","I Need Thee Every Hour","http://bap-tizum.com/sites/default/files/audio/I_Need_Thee_Every_Hour.mp3"
"The United Pentecostal Choral Union","I Saw The Beautiful Light","http://bap-tizum.com/sites/default/files/audio/I_Saw_The_Beautiful_Light.mp3"
"The Trenton Singers","I Shall Know Him Part 2","http://bap-tizum.com/sites/default/files/audio/I_Shall_Know_Him_Part_2.mp3"
"The Harmonizing Four","I Shall Not Be Moved","http://bap-tizum.com/sites/default/files/audio/I_Shall_Not_Be_Moved.mp3"
"The Harmonizing Four","I Shall Not Be Moved","http://bap-tizum.com/sites/default/files/audio/I_Shall_Not_Be_Moved_0.mp3"
"The Harmonizing Four","I Shall Not Be Moved Part 2","http://bap-tizum.com/sites/default/files/audio/I_Shall_Not_Be_Moved_2.mp3"
"The Harmonizing Four","I Shall Rest at the End of the Day","http://bap-tizum.com/sites/default/files/audio/I_Shall_Rest_at_the_End_of_the_Day.mp3"
"Brother Joe May","I Thank The Lord","http://bap-tizum.com/sites/default/files/audio/Brother%20Joe%20May_I%20Thank%20The%20Lord_78.mp3"
"Ernestine Washington and The Southern Sons","I Thank You Lord","http://bap-tizum.com/sites/default/files/audio/I_Thank_You_Lord.mp3"
"Fisk University Jubilee Singers","I Want To Be Ready","http://bap-tizum.com/sites/default/files/audio/Fisk%20University%20Jubilee%20Singers_I%20Want%20To%20Be%20Ready_78.mp3"
"Fisk University Jubilee Singers","I Want To Be Ready","http://bap-tizum.com/sites/default/files/audio/Fisk%20University%20Jubilee%20Singers_I%20Want%20To%20Be%20Ready_78_0.mp3"
"The Soul Stirrers","I Want To Rest, Lord, Rest","http://bap-tizum.com/sites/default/files/audio/The%20Soul%20Stirrers_I%20Want%20To%20Rest,%20Lord,%20Rest_78.mp3"
"The Soul Stirrers","I Want To Rest, Lord, Rest","http://bap-tizum.com/sites/default/files/audio/The%20Soul%20Stirrers_I%20Want%20To%20Rest,%20Lord,%20Rest_78_0.mp3"
"Silver Echo Quartet","I Want Somewhere to Lay My Head","http://bap-tizum.com/sites/default/files/audio/I_Want_Somewhere_to_Lay_My_Head.mp3"
"The Bibletone Jubileers","I Want Two Wings","http://bap-tizum.com/sites/default/files/audio/The%20Bibletone%20Jubileers_I%20Want%20Two%20Wings_78.mp3"
"The Bibletone Jubileers","I Want Two Wings","http://bap-tizum.com/sites/default/files/audio/The%20Bibletone%20Jubileers_I%20Want%20Two%20Wings_78_0.mp3"
"Clara Ward","I Will Trust in the Lord","http://bap-tizum.com/sites/default/files/audio/I_Will_Trust_in_the_Lord.mp3"
"Cumberland River Singers","I Wonder Who Cares","http://bap-tizum.com/sites/default/files/audio/I_Wonder_Who_Cares.mp3"
"Dixie Hummingbirds","If I Could Just Make it in","http://bap-tizum.com/sites/default/files/audio/If_I_Could_Just_Make_it_in.mp3"
"Dixie Hummingbirds","If I Could Just Make it in","http://bap-tizum.com/sites/default/files/audio/If_I_Could_Just_Make_it_in_1.mp3"
"Ernestine Washington And Dixie Hummingbirds","If I Could Just Make It In","http://bap-tizum.com/sites/default/files/audio/Ernestine%20Washington%20And%20Dixie%20Hummingbirds_If%20I%20Could%20Just%20Make%20It%20In_78.mp3"
"Ernestine Washington And Dixie Hummingbirds","If I Could Just Make It In","http://bap-tizum.com/sites/default/files/audio/Ernestine%20Washington%20And%20Dixie%20Hummingbirds_If%20I%20Could%20Just%20Make%20It%20In_78_0.mp3"
"Old Fashioned Revival Hour Quartet","I'll Be a Witness For My Lord","http://bap-tizum.com/sites/default/files/audio/Ill_Be_a_Witness_For_My_Lord.mp3"
"The Harmonizing Four","I'll Go, Lord, Send Me","http://bap-tizum.com/sites/default/files/audio/Ill_Go_Lord_Send_Me.mp3"
"The Harmonizing Four","I'll Go, Lord, Send Me","http://bap-tizum.com/sites/default/files/audio/Ill_Go_Lord_Send_Me_0.mp3"
"Dixie Humming Birds","I'll Keep on Living After I Die","http://bap-tizum.com/sites/default/files/audio/Ill_Keep_on_Living_After_I_Die.mp3"
"Mary Deloach","I'll Ride on a Cloud with my Lord","http://bap-tizum.com/sites/default/files/audio/Ill_Ride_on_a_Cloud_with_my_Lord.mp3"
"The Pilgrim Travelers","I'll Trust His Hand","http://bap-tizum.com/sites/default/files/audio/Ill_Trust_His_Hand.mp3"
"The Swan Silvertone Singers","I'm Coming Home","http://bap-tizum.com/sites/default/files/audio/Im_Coming_Home.mp3"
"The Staple Singers","I'm Coming Home","http://bap-tizum.com/sites/default/files/audio/The%20Staple%20Singers_I'm%20Coming%20Home_78.mp3"
"The Staple Singers","I'm Coming Home","http://bap-tizum.com/sites/default/files/audio/The%20Staple%20Singers_I'm%20Coming%20Home_78_0.mp3"
"The Sensational Nightingales","I'm Coming Up, Lord","http://bap-tizum.com/sites/default/files/audio/Im_Coming_Up_Lord.mp3"
"Pace Jubilee Singers With Hattie Parker","I'm Going To Do All I Can For My Lord","http://bap-tizum.com/sites/default/files/audio/Pace%20Jubilee%20Singers%20With%20Hattie%20Parker_I'm%20Going%20To%20Do%20All%20I%20Can%20For%20My%20Lord_78.mp3"
